path,extension,sizeBytes,lineCount,paragraphCount,modifiedAt,language,languageRatio,snippet
data/golden.json,.json,6796,216,1,2025-09-22T22:26:41.000Z,en,0.09,"{ ""version"": ""1.0"", ""description"": ""Golden dataset for translation quality validation with challenging row IDs from"
data/ingest-index.json,.json,15127,125,1,2025-09-24T03:51:07.000Z,ar,0.9,"{ ""المقدمة:dbf60d45"": ""S001_1"", ""المقدمة:a2a7f2fc"": ""S002"", ""سعد غانم العباجي:8a192673"": ""S003"", ""فألهم الله الن"
data/manifest.json,.json,32704,996,1,2025-09-24T03:51:07.000Z,mixed,0.45,"{ ""sections"": [ { ""id"": ""S001_1"", ""title"": ""المقدمة"", ""rowCount"": 1, ""wordCount"": 12,"
data/scripture/cache.json,.json,1110,27,1,2025-09-24T03:38:11.000Z,en,0.32,"{ ""version"": ""1.0"", ""lastUpdated"": ""2025-09-24T03:38:11.171Z"", ""entries"": { ""17:70"": { ""data"": {"
data/scripture/quran_small.json,.json,9075,194,1,2025-09-22T22:26:41.000Z,en,0.34,"{ ""5:2"": { ""reference"": ""5:2"", ""type"": ""quran"", ""surah"": 5, ""ayah"": 2, ""arabic"": ""يَا أَيُّهَا الَ"
data/sections/S001_1.json,.json,902,31,1,2025-09-24T03:51:07.000Z,en,0.36,"{ ""id"": ""S001_1"", ""title"": ""المقدمة"", ""rows"": [ { ""id"": ""S001_1-001"", ""original"": ""الإنسان فطره أم"
data/sections/S001.json,.json,13760,256,1,2025-09-22T22:26:41.000Z,mixed,0.41,"{ ""id"": ""S001"", ""title"": ""المقدمة"", ""rows"": [ { ""id"": ""S001-001"", ""original"": ""بسم الله الرحمن الر"
data/sections/S002.json,.json,20708,271,1,2025-09-24T03:51:07.000Z,ar,0.75,"{ ""id"": ""S002"", ""title"": ""المقدمة"", ""rows"": [ { ""id"": ""S002-001"", ""original"": ""بسم الله الرحمن الر"
data/sections/S003.json,.json,10701,145,1,2025-09-24T03:51:07.000Z,ar,0.74,"{ ""id"": ""S003"", ""title"": ""سعد غانم العباجي"", ""rows"": [ { ""id"": ""S003-001"", ""original"": ""الانسان: ه"
data/sections/S004.json,.json,36150,509,1,2025-09-24T03:51:07.000Z,ar,0.72,"{ ""id"": ""S004"", ""title"": ""فألهم الله النفس البشرية فجورها وتقوها:"", ""rows"": [ { ""id"": ""S004-001"","
